ab_uni_name,group_paper_count,nr_researchers,publication_strength,quartile
anonymized,34,25,1.36,2
anonymized,17,10,1.7,2
anonymized,7,1,7,4
anonymized,17,12,1.416666667,2
anonymized,7,1,7,4
anonymized,35,30,1.166666667,1
anonymized,6,5,1.2,1
anonymized,48,24,2,3
anonymized,63,31,2.032258065,3
anonymized,35,36,0.972222222,1
anonymized,15,13,1.153846154,1
anonymized,40,10,4,4
anonymized,35,9,3.888888889,4
anonymized,54,17,3.176470588,4
anonymized,13,5,2.6,3
anonymized,54,21,2.571428571,3
anonymized,6,4,1.5,2
anonymized,23,8,2.875,4
anonymized,37,21,1.761904762,2
anonymized,56,21,2.666666667,3
anonymized,31,7,4.428571429,4
anonymized,66,26,2.538461538,3
anonymized,9,6,1.5,2
anonymized,22,11,2,3
anonymized,10,7,1.428571429,2
anonymized,18,10,1.8,2
anonymized,25,11,2.272727273,3
anonymized,10,8,1.25,1
anonymized,39,21,1.857142857,2
anonymized,16,12,1.333333333,2
anonymized,63,28,2.25,3
anonymized,11,12,0.916666667,1
anonymized,0,1,0,1
anonymized,5,1,5,4
anonymized,19,8,2.375,3
anonymized,4,4,1,1
anonymized,1,3,0.333333333,1
anonymized,21,20,1.05,1
anonymized,65,55,1.181818182,1
anonymized,24,14,1.714285714,2
anonymized,10,4,2.5,3
anonymized,0,7,0,1
anonymized,5,3,1.666666667,2
anonymized,57,32,1.78125,2
anonymized,10,3,3.333333333,4
anonymized,153,15,10.2,4
anonymized,17,9,1.888888889,2
anonymized,56,22,2.545454545,3
anonymized,5,4,1.25,1
anonymized,28,11,2.545454545,3
anonymized,10,5,2,3
anonymized,7,8,0.875,1
anonymized,22,18,1.222222222,1
anonymized,9,10,0.9,1
anonymized,12,7,1.714285714,2
anonymized,30,15,2,3
anonymized,5,4,1.25,1
anonymized,15,3,5,4
anonymized,30,10,3,4
anonymized,36,17,2.117647059,3
anonymized,7,4,1.75,2
anonymized,35,8,4.375,4
anonymized,4,2,2,3
anonymized,24,16,1.5,2
anonymized,8,2,4,4
anonymized,67,24,2.791666667,4
anonymized,21,6,3.5,4
anonymized,14,8,1.75,2
anonymized,28,8,3.5,4
anonymized,7,3,2.333333333,3
anonymized,37,12,3.083333333,4
anonymized,18,6,3,4
anonymized,34,11,3.090909091,4
anonymized,18,17,1.058823529,1
anonymized,4,4,1,1
anonymized,18,8,2.25,3
anonymized,18,14,1.285714286,2
anonymized,23,14,1.642857143,2
anonymized,4,4,1,1
anonymized,34,5,6.8,4
anonymized,14,9,1.555555556,2
anonymized,16,13,1.230769231,1
anonymized,39,11,3.545454545,4
anonymized,27,12,2.25,3
anonymized,26,15,1.733333333,2
anonymized,16,10,1.6,2
anonymized,25,10,2.5,3
anonymized,46,34,1.352941176,2
anonymized,10,1,10,4
anonymized,11,9,1.222222222,1
anonymized,3,5,0.6,1
anonymized,18,9,2,3
anonymized,0,4,0,1
anonymized,3,5,0.6,1
anonymized,35,14,2.5,3
anonymized,26,14,1.857142857,2
anonymized,7,1,7,4
anonymized,14,7,2,3
anonymized,42,16,2.625,3